"","iso2c","country","year","fertility.rate","life.expectancy","population","GDP.per.capita.Current.USD","15.to.25.yr.female.literacy","iso3c","region","capital","longitude","latitude","income","lending"
"266","AD","Andorra",1960,NA,NA,13414,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"267","AD","Andorra",1961,NA,NA,14376,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"268","AD","Andorra",1962,NA,NA,15376,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"269","AD","Andorra",1963,NA,NA,16410,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"270","AD","Andorra",1964,NA,NA,17470,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"271","AD","Andorra",1965,NA,NA,18551,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"272","AD","Andorra",1966,NA,NA,19646,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"273","AD","Andorra",1967,NA,NA,20755,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"274","AD","Andorra",1968,NA,NA,21888,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"275","AD","Andorra",1969,NA,NA,23061,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"276","AD","Andorra",1970,NA,NA,24279,3238.08930857635,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"277","AD","Andorra",1971,NA,NA,25560,3497.91312652628,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"278","AD","Andorra",1972,NA,NA,26892,4217.40041168169,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"279","AD","Andorra",1973,NA,NA,28231,5343.12277676194,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"280","AD","Andorra",1974,NA,NA,29514,6320.97187804694,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"281","AD","Andorra",1975,NA,NA,30706,7168.39870956809,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"282","AD","Andorra",1976,NA,NA,31781,7151.57376813729,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"283","AD","Andorra",1977,NA,NA,32769,7751.169371822,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"284","AD","Andorra",1978,NA,NA,33746,9127.61169904434,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"285","AD","Andorra",1979,NA,NA,34819,11819.6457899758,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"286","AD","Andorra",1980,NA,NA,36063,12377.7138585391,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"287","AD","Andorra",1981,NA,NA,37502,10372.3271798169,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"288","AD","Andorra",1982,NA,NA,39112,9611.23805783753,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"289","AD","Andorra",1983,NA,NA,40862,8023.34562682223,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
